"","id","status_group"
"290",69669,"non functional"
"291",67377,"non functional"
"292",51185,"non functional"
"293",24049,"functional"
"294",70835,"functional"
"295",74176,"functional"
"296",68037,"functional"
"297",10992,"non functional"
"298",45886,"non functional"
"299",64793,"non functional"
"300",40808,"non functional"
"301",62565,"functional"
"302",70379,"functional"
"303",10089,"functional"
"304",37364,"non functional"
"305",43345,"functional"
"306",39310,"non functional"
"307",59713,"functional"
"308",28945,"functional needs repair"
"309",5074,"functional needs repair"
"310",54009,"non functional"
"311",35563,"non functional"
"312",17668,"non functional"
"313",30390,"non functional"
"314",1298,"non functional"
"315",2993,"non functional"
"316",63712,"non functional"
"317",61979,"functional"
"318",39704,"non functional"
"319",29191,"non functional"
"320",35649,"functional needs repair"
"321",15840,"functional needs repair"
"322",45415,"functional needs repair"
"323",8055,"functional"
"324",51403,"non functional"
"325",33963,"functional"
"326",21669,"non functional"
"327",7900,"functional"
"328",337,"functional"
"329",17861,"functional"
"330",13195,"non functional"
"331",54722,"non functional"
"332",2845,"functional"
"333",17111,"functional"
"334",21338,"functional"
"335",49326,"functional"
"336",15358,"functional"
"337",33040,"non functional"
"338",40592,"non functional"
"339",29513,"functional"
"340",51163,"functional"
"341",40920,"functional"
"342",65101,"functional"
"343",21127,"non functional"
"344",67822,"functional"
"345",14135,"functional"
"346",10458,"non functional"
"347",32089,"functional"
"348",8230,"non functional"
"349",43433,"functional"
"350",62188,"functional"
"351",19,"functional"
"352",26577,"functional"
"353",68887,"functional needs repair"
"354",9382,"functional"
"355",65238,"functional needs repair"
"356",17897,"functional needs repair"
"357",29744,"non functional"
"358",23987,"functional needs repair"
"359",26655,"non functional"
"360",17978,"functional"
"361",51558,"non functional"
"362",48007,"non functional"
"363",25534,"functional"
"364",13969,"functional"
"365",39548,"non functional"
"366",25143,"functional"
"367",25736,"functional"
"368",17516,"functional"
"369",66980,"functional"
"370",45444,"functional"
"371",59310,"functional"
"372",59102,"functional"
"373",61883,"functional"
"374",93,"functional"
"375",15988,"non functional"
"376",19304,"non functional"
"377",44092,"functional"
"378",66242,"functional needs repair"
"379",51611,"functional needs repair"
"380",53847,"functional"
"381",67634,"functional"
"382",24757,"functional needs repair"
"383",37524,"functional"
"384",16341,"functional"
"385",39176,"functional"
"386",24836,"functional"
"387",73470,"non functional"
"388",11533,"non functional"
"389",74217,"functional"
"390",7007,"functional"
"391",4101,"functional"
"392",17041,"non functional"
"393",38725,"functional"
"394",39749,"non functional"
"395",62642,"non functional"
"396",49453,"functional"
"397",63018,"functional"
"398",65932,"non functional"
"399",56863,"non functional"
"400",23835,"functional"
"401",34870,"non functional"
"402",39915,"functional"
"403",9736,"functional"
"404",70019,"non functional"
"405",20984,"non functional"
"406",20132,"functional"
"407",5963,"functional"
"408",3740,"functional"
"409",26943,"functional needs repair"
"410",43742,"functional"
"411",5784,"non functional"
"412",42548,"non functional"
"413",5121,"non functional"
"414",57478,"functional"
"415",58537,"functional needs repair"
"416",3627,"non functional"
"417",4062,"functional"
"418",15832,"non functional"
"419",34741,"functional"
"420",67097,"functional"
"421",4437,"functional"
"422",65817,"functional"
"423",39559,"non functional"
"424",54412,"functional"
"425",25344,"non functional"
"426",2301,"non functional"
"427",32844,"non functional"
"428",59874,"non functional"
"429",50233,"non functional"
"430",29639,"functional"
"431",65584,"functional"
"432",43808,"non functional"
"433",6788,"functional"
"434",51220,"functional"
"435",16872,"functional needs repair"
"436",66383,"non functional"
"437",58599,"functional"
"438",29383,"non functional"
"439",36809,"non functional"
"440",29753,"functional"
"441",72112,"non functional"
"442",34926,"non functional"
"443",59898,"functional needs repair"
"444",779,"functional"
"445",68126,"functional"
"446",48102,"functional needs repair"
"447",24794,"functional"
"448",29771,"functional"
"449",29052,"functional"
"450",4923,"functional"
"451",38642,"non functional"
"452",27079,"functional"
"453",60111,"functional"
"454",12478,"non functional"
"455",67155,"functional"
"456",54733,"functional"
"457",45654,"non functional"
"458",54678,"functional"
"459",1439,"functional"
"460",16313,"functional"
"461",6735,"functional"
"462",3328,"non functional"
"463",1220,"functional"
"464",57970,"functional"
"465",44204,"functional"
"466",63675,"functional"
"467",40519,"non functional"
"468",66382,"functional"
"469",45386,"non functional"
"470",43604,"non functional"
"471",59053,"functional"
"472",1030,"non functional"
"473",52677,"functional"
"474",1738,"functional"
"475",19548,"functional"
"476",30897,"non functional"
"477",27523,"functional"
"478",815,"functional"
"479",14910,"non functional"
"480",11184,"functional"
"481",49071,"functional needs repair"
"482",22000,"functional"
"483",60074,"functional needs repair"
"484",60374,"non functional"
"485",25913,"functional"
"486",6205,"non functional"
"487",48390,"non functional"
"488",3980,"non functional"
"489",11905,"functional"
"490",45320,"non functional"
"491",31264,"functional"
"492",16537,"functional"
"493",9096,"functional needs repair"
"494",33104,"functional"
"495",11754,"non functional"
"496",4147,"non functional"
"497",53577,"functional needs repair"
"498",42476,"functional"
"499",68995,"non functional"
"500",32255,"non functional"
"501",8699,"functional"
"502",1203,"functional"
"503",70666,"non functional"
"504",26293,"non functional"
"505",44358,"non functional"
"506",64687,"non functional"
"507",71489,"non functional"
"508",61994,"functional"
"509",42306,"non functional"
"510",67453,"functional"
"511",11581,"non functional"
"512",14123,"functional needs repair"
"513",18266,"functional"
"514",59263,"functional"
"515",6387,"functional"
"516",28359,"non functional"
"517",17571,"functional"
"518",53558,"functional"
"519",66967,"functional"
"520",72238,"functional"
"521",12207,"functional"
"522",68495,"functional"
"523",19283,"functional"
"524",38565,"non functional"
"525",3522,"functional"
"526",21927,"non functional"
"527",60029,"non functional"
"528",26851,"functional"
"529",41968,"functional"
"530",38379,"functional"
"531",54983,"functional"
"532",68333,"functional"
"533",65944,"non functional"
"534",5947,"functional"
"535",42347,"functional"
"536",67371,"non functional"
"537",64048,"functional"
"538",42733,"non functional"
"539",4133,"non functional"
"540",50124,"non functional"
"541",69502,"non functional"
"542",45876,"functional"
"543",52402,"non functional"
"544",24691,"functional"
"545",67950,"functional"
"546",19232,"non functional"
"547",65266,"functional"
"548",48401,"non functional"
"549",53972,"functional needs repair"
"550",59369,"non functional"
"551",21737,"functional"
"552",13211,"non functional"
"553",63864,"functional"
"554",30174,"functional"
"555",70930,"functional"
"556",36823,"non functional"
"557",63746,"functional"
"558",24331,"functional"
"559",41174,"functional"
"560",70070,"functional needs repair"
"561",31332,"functional"
"562",11011,"functional"
"563",12245,"functional"
"564",68493,"non functional"
"565",5946,"non functional"
"566",27334,"non functional"
"567",60626,"functional"
"568",69018,"functional"
"569",49196,"functional"
"570",26839,"functional"
"571",58681,"non functional"
"572",70584,"functional"
"573",6758,"functional"
"574",65476,"functional needs repair"
"575",63687,"non functional"
"576",49678,"non functional"
"577",57948,"non functional"
"578",42350,"non functional"
"579",4526,"non functional"
"580",51133,"functional"
"581",70054,"non functional"
"582",48080,"functional"
"583",12552,"functional"
"584",52707,"functional"
"585",68660,"non functional"
"586",64257,"non functional"
"587",46719,"non functional"
"588",17219,"non functional"
"589",29658,"functional"
"590",14992,"non functional"
"591",56386,"non functional"
"592",8757,"functional"
"593",13727,"non functional"
"594",22928,"non functional"
"595",63748,"non functional"
"596",42195,"functional needs repair"
"597",36067,"functional needs repair"
"598",54113,"functional"
"599",59405,"functional"
"600",62511,"functional"
"601",23315,"functional"
"602",40509,"functional"
"603",45093,"non functional"
"604",45889,"non functional"
"605",71634,"functional"
"606",15250,"non functional"
"607",32245,"functional"
"608",3777,"functional"
"609",71658,"non functional"
"610",48546,"non functional"
"611",11957,"functional needs repair"
"612",49862,"non functional"
"613",38775,"functional"
"614",66760,"functional"
"615",61574,"functional"
"616",57395,"functional"
"617",21830,"non functional"
"618",18225,"non functional"
"619",25165,"functional needs repair"
"620",67199,"functional"
"621",22385,"functional"
"622",4636,"functional"
"623",35726,"functional"
"624",6939,"functional"
"625",31692,"functional"
"626",47016,"functional"
"627",53147,"non functional"
"628",27776,"functional"
"629",17242,"functional"
"630",53218,"non functional"
"631",60433,"functional"
"632",48033,"functional needs repair"
"633",58642,"non functional"
"634",7420,"non functional"
"635",11811,"functional"
"636",54548,"non functional"
"637",54848,"non functional"
"638",32336,"functional"
"639",26535,"non functional"
"640",71856,"functional"
"641",53518,"non functional"
"642",11087,"functional"
"643",14701,"functional"
"644",11447,"functional needs repair"
"645",23819,"non functional"
"646",27069,"non functional"
"647",21064,"functional"
"648",36711,"functional"
"649",37750,"non functional"
"650",47102,"functional"
"651",13734,"functional"
"652",50708,"non functional"
"653",38763,"functional"
"654",38220,"functional"
"655",5060,"functional needs repair"
"656",29153,"functional needs repair"
"657",53985,"non functional"
"658",6519,"functional"
"659",47117,"non functional"
"660",20625,"functional needs repair"
"661",46110,"non functional"
"662",72474,"functional"
"663",623,"non functional"
"664",27561,"functional"
"665",52067,"non functional"
"666",6757,"functional"
"667",54596,"functional"
"668",67545,"functional"
"669",51355,"non functional"
"670",28846,"functional"
"671",13685,"functional"
"672",7863,"non functional"
"673",55543,"functional"
"674",63908,"functional"
"675",23407,"non functional"
"676",57452,"functional"
"677",42339,"functional"
"678",42491,"functional"
"679",27128,"non functional"
"680",28741,"functional"
"681",7936,"functional needs repair"
"682",40427,"non functional"
"683",64144,"functional"
"684",15188,"functional"
"685",25220,"functional"
"686",59031,"non functional"
"687",69979,"functional"
"688",25199,"functional"
"689",70644,"functional"
"690",7841,"non functional"
"691",32699,"non functional"
"692",25339,"functional needs repair"
"693",53106,"functional"
"694",39953,"non functional"
"695",22679,"functional"
"696",32012,"functional"
"697",35007,"non functional"
"698",19409,"functional"
"699",54670,"non functional"
"700",36702,"functional"
"701",57293,"functional"
"702",50001,"non functional"
"703",6002,"non functional"
"704",46231,"functional"
"705",10342,"functional"
"706",54599,"functional"
"707",26302,"non functional"
"708",24052,"functional"
"709",11362,"non functional"
"710",4554,"functional"
"711",3873,"non functional"
"712",1856,"functional"
"713",19574,"functional needs repair"
"714",3843,"functional"
"715",71216,"non functional"
"716",42487,"non functional"
"717",19869,"non functional"
"718",71891,"functional"
"719",5875,"non functional"
"720",63423,"functional"
"721",38537,"functional"
"722",880,"functional"
"723",28306,"non functional"
"724",69377,"non functional"
"725",492,"non functional"
"726",11641,"non functional"
"727",69883,"functional"
"728",8709,"functional"
"729",8316,"functional"
"730",32164,"functional"
"731",49888,"non functional"
"732",17809,"non functional"
"733",71837,"functional"
"734",36267,"functional needs repair"
"735",64333,"functional"
"736",39105,"functional"
"737",13866,"non functional"
"738",42943,"functional"
"739",42959,"functional needs repair"
"740",27736,"functional needs repair"
"741",68179,"functional"
"742",19672,"functional"
"743",37322,"functional needs repair"
"744",42431,"functional"
"745",25766,"non functional"
"746",70897,"non functional"
"747",61759,"functional"
"748",64031,"functional"
"749",18488,"functional"
"750",13501,"non functional"
"751",26856,"non functional"
"752",59448,"functional"
"753",56471,"functional"
"754",17287,"functional"
"755",8080,"functional"
"756",27799,"functional"
"757",35558,"functional"
"758",63978,"non functional"
"759",45566,"non functional"
"760",61039,"functional"
"761",71895,"functional"
"762",968,"functional"
"763",3995,"non functional"
"764",1604,"functional needs repair"
"765",53188,"functional needs repair"
"766",5562,"functional"
"767",10976,"non functional"
"768",18814,"non functional"
"769",43732,"functional"
"770",72282,"functional needs repair"
"771",69101,"functional needs repair"
"772",25947,"functional"
"773",43149,"non functional"
"774",50383,"functional"
"775",49431,"functional"
"776",45744,"functional needs repair"
"777",18848,"non functional"
"778",711,"non functional"
"779",6044,"non functional"
"780",2940,"non functional"
"781",57305,"non functional"
"782",58286,"functional"
"783",66643,"functional"
"784",12756,"functional"
"785",15545,"functional"
"786",47221,"functional"
"787",2414,"functional"
"788",11497,"non functional"
"789",71236,"functional"
"790",26174,"non functional"
"791",14985,"functional"
"792",41560,"functional"
"793",26204,"functional"
"794",21623,"non functional"
"795",37757,"non functional"
"796",59179,"functional"
"797",1981,"functional"
"798",72237,"functional"
"799",51820,"functional"
"800",23732,"functional"
"801",47193,"non functional"
"802",5464,"non functional"
"803",57085,"functional"
"804",59694,"non functional"
"805",56708,"functional"
"806",3091,"functional"
"807",37039,"non functional"
"808",13201,"functional"
"809",10527,"non functional"
"810",40666,"non functional"
"811",47783,"non functional"
"812",47756,"non functional"
"813",66682,"non functional"
"814",11388,"functional"
"815",1605,"non functional"
"816",10065,"non functional"
"817",72943,"non functional"
"818",38507,"functional needs repair"
"819",54163,"non functional"
"820",27790,"functional"
"821",37114,"functional"
"822",70237,"functional"
"823",47075,"non functional"
"824",61558,"functional"
"825",28921,"non functional"
"826",38293,"functional"
"827",23288,"non functional"
"828",50641,"non functional"
"829",1074,"non functional"
"830",68641,"functional"
"831",40102,"functional"
"832",51665,"non functional"
"833",13739,"functional"
"834",60171,"functional"
"835",18825,"functional"
"836",7942,"non functional"
"837",60688,"functional"
"838",9401,"functional"
"839",58495,"non functional"
"840",41985,"functional needs repair"
"841",17569,"functional"
"842",14438,"functional"
"843",52390,"non functional"
"844",37241,"functional"
"845",37507,"functional"
"846",2829,"non functional"
"847",34664,"functional"
"848",16672,"functional"
"849",4778,"functional"
"850",55567,"functional"
"851",11871,"non functional"
"852",27571,"functional"
"853",13555,"non functional"
"854",23465,"functional needs repair"
"855",28822,"non functional"
"856",50898,"functional"
"857",53006,"functional"
"858",56631,"functional"
"859",46988,"functional"
"860",4672,"functional"
"861",35778,"non functional"
"862",70424,"non functional"
"863",58389,"non functional"
"864",11695,"non functional"
"865",37915,"non functional"
"866",65995,"functional"
"867",8988,"functional"
"868",12598,"functional"
"869",34130,"non functional"
"870",28032,"functional"
"871",72055,"functional needs repair"
"872",14727,"functional"
"873",7784,"non functional"
"874",44120,"functional"
"875",6424,"functional"
"876",146,"functional"
"877",56277,"functional"
"878",60410,"functional"
"879",61169,"functional"
"880",22244,"non functional"
"881",61060,"functional"
"882",33006,"functional"
"883",6988,"functional"
"884",23156,"non functional"
"885",54772,"non functional"
"886",19362,"functional"
"887",60535,"functional"
"888",54055,"functional"
"889",6171,"functional"
"890",48519,"non functional"
"891",33946,"non functional"
"892",68894,"functional"
"893",36606,"functional"
"894",72553,"functional"
"895",13987,"non functional"
"896",20639,"non functional"
"897",21896,"functional"
"898",25354,"functional"
"899",24752,"functional"
"900",7691,"functional"
"901",61992,"non functional"
"902",19080,"functional"
"903",34305,"non functional"
"904",36513,"functional"
"905",41986,"functional"
"906",36255,"non functional"
"907",28016,"functional"
"908",55033,"functional"
"909",18928,"functional"
"910",44976,"functional"
"911",7296,"functional"
"912",10085,"functional needs repair"
"913",15643,"functional"
"914",1817,"functional"
"915",15975,"non functional"
"916",22396,"non functional"
"917",2547,"functional"
"918",24638,"functional needs repair"
"919",47697,"non functional"
"920",25000,"functional"
"921",52461,"non functional"
"922",49160,"non functional"
"923",42590,"non functional"
"924",65061,"non functional"
"925",25243,"non functional"
"926",30320,"functional"
"927",69136,"functional"
"928",28993,"functional"
"929",25367,"functional"
"930",53109,"non functional"
"931",18169,"functional"
"932",18729,"functional"
"933",40750,"non functional"
"934",16363,"non functional"
"935",22402,"functional needs repair"
"936",52686,"functional"
"937",50841,"functional"
"938",12656,"non functional"
"939",21315,"functional"
"940",32543,"functional"
"941",73274,"non functional"
"942",20697,"non functional"
"943",5009,"functional"
"944",19781,"non functional"
"945",56226,"non functional"
"946",69168,"functional"
"947",26962,"functional"
"948",43964,"functional"
"949",72849,"non functional"
"950",15974,"non functional"
"951",5071,"functional"
"952",44480,"functional"
"953",54327,"non functional"
"954",55560,"functional"
"955",5563,"functional"
"956",44490,"non functional"
"957",4379,"non functional"
"958",58526,"functional"
"959",41227,"non functional"
"960",9069,"functional"
"961",32952,"non functional"
"962",42342,"non functional"
"963",5455,"functional"
"964",39280,"non functional"
"965",43079,"non functional"
"966",46510,"non functional"
"967",17088,"functional"
"968",61476,"functional"
"969",44578,"non functional"
"970",46507,"functional"
"971",38201,"functional"
"972",15306,"functional"
"973",20347,"non functional"
"974",72772,"non functional"
"975",52991,"non functional"
"976",68844,"non functional"
"977",16923,"functional"
"978",22283,"functional"
"979",54056,"functional"
"980",3968,"functional"
"981",33094,"non functional"
"982",20020,"functional"
"983",25712,"non functional"
"984",30261,"non functional"
"985",38474,"functional"
"986",36914,"functional"
"987",21383,"functional"
"988",45754,"non functional"
"989",61131,"functional needs repair"
"990",11961,"functional"
"991",59071,"functional"
"992",458,"functional"
"993",1678,"functional"
"994",32502,"functional"
"995",14763,"non functional"
"996",41826,"functional"
"997",17360,"non functional"
"998",62435,"non functional"
"999",60873,"functional"
"1000",61750,"functional"
"1001",47384,"functional"
"1002",11570,"non functional"
"1003",5769,"functional"
"1004",41064,"functional"
"1005",73337,"functional needs repair"
"1006",2296,"functional"
"1007",30758,"functional"
"1008",11249,"functional"
"1009",8975,"non functional"
"1010",15697,"non functional"
"1011",55516,"functional"
"1012",68770,"functional"
"1013",34340,"functional needs repair"
"1014",73545,"functional"
"1015",21946,"functional"
"1016",20011,"functional"
"1017",12096,"non functional"
"1018",52980,"non functional"
"1019",41433,"non functional"
"1020",21810,"non functional"
"1021",8064,"non functional"
"1022",72386,"functional"
"1023",6948,"functional"
"1024",61190,"functional"
"1025",29182,"non functional"
"1026",5277,"functional"
"1027",21792,"non functional"
"1028",34375,"functional"
"1029",26402,"non functional"
"1030",65213,"non functional"
"1031",34298,"functional"
"1032",72359,"non functional"
"1033",19234,"non functional"
"1034",1408,"non functional"
"1035",60705,"non functional"
"1036",19262,"non functional"
"1037",61177,"non functional"
"1038",15666,"functional needs repair"
"1039",11352,"functional"
"1040",19595,"functional"
"1041",2523,"functional"
"1042",51714,"functional"
"1043",47206,"functional"
"1044",46752,"functional needs repair"
"1045",54871,"non functional"
"1046",30036,"functional"
"1047",24034,"functional"
"1048",7334,"non functional"
"1049",70461,"functional"
"1050",74188,"non functional"
"1051",52643,"non functional"
"1052",30990,"non functional"
"1053",20637,"functional"
"1054",52547,"non functional"
"1055",15529,"functional"
"1056",48505,"non functional"
"1057",5968,"functional"
"1058",17278,"non functional"
"1059",55164,"functional"
"1060",21952,"non functional"
"1061",30140,"non functional"
"1062",23296,"functional"
"1063",59327,"functional"
"1064",34823,"functional"
"1065",13244,"functional needs repair"
"1066",14675,"functional"
"1067",36360,"functional"
"1068",59257,"functional"
"1069",68473,"functional"
"1070",6592,"non functional"
"1071",39088,"functional"
"1072",15044,"functional"
"1073",45312,"non functional"
"1074",25635,"functional"
"1075",3246,"non functional"
"1076",72352,"functional"
"1077",2427,"functional"
"1078",15178,"functional"
"1079",32145,"functional"
"1080",38563,"non functional"
"1081",57980,"non functional"
"1082",58115,"non functional"
"1083",6905,"functional"
"1084",38261,"non functional"
"1085",46317,"non functional"
"1086",47744,"functional"
"1087",4674,"non functional"
"1088",7464,"non functional"
"1089",54386,"functional"
"1090",58753,"non functional"
"1091",8734,"functional"
"1092",20205,"non functional"
"1093",57641,"functional"
"1094",3215,"non functional"
"1095",20872,"functional"
"1096",34554,"functional"
"1097",9793,"non functional"
"1098",43016,"non functional"
"1099",4435,"functional"
"1100",32760,"functional"
"1101",11879,"functional"
"1102",10835,"functional"
"1103",24198,"non functional"
"1104",14783,"functional"
"1105",49627,"functional"
"1106",16898,"functional"
"1107",18730,"non functional"
"1108",51370,"non functional"
"1109",42001,"functional"
"1110",45954,"functional"
"1111",4072,"functional"
"1112",25132,"functional"
"1113",37522,"functional"
"1114",9850,"functional"
"1115",11736,"functional"
"1116",72024,"functional"
"1117",34272,"functional"
"1118",27733,"functional"
"1119",19274,"functional"
"1120",44507,"functional needs repair"
"1121",70026,"non functional"
"1122",21745,"functional"
"1123",47134,"functional"
"1124",47471,"non functional"
"1125",33789,"functional"
"1126",48621,"non functional"
"1127",68054,"non functional"
"1128",50879,"functional"
"1129",60376,"functional"
"1130",27378,"non functional"
"1131",42383,"functional"
"1132",74085,"functional"
"1133",55074,"functional"
"1134",46138,"functional"
"1135",27695,"functional"
"1136",30098,"functional"
"1137",25576,"functional"
"1138",10479,"functional"
"1139",59522,"non functional"
"1140",57162,"non functional"
"1141",17413,"functional"
"1142",2080,"functional"
"1143",64577,"functional"
"1144",28942,"functional"
"1145",8686,"non functional"
"1146",9182,"functional"
"1147",20207,"non functional"
"1148",16679,"functional"
"1149",11991,"non functional"
"1150",2484,"non functional"
"1151",58277,"non functional"
"1152",51371,"non functional"
"1153",32063,"functional"
"1154",69226,"functional"
"1155",47870,"functional"
"1156",3634,"functional"
"1157",7061,"functional needs repair"
"1158",46652,"functional"
"1159",59430,"non functional"
"1160",3948,"functional"
"1161",21067,"functional"
"1162",31713,"non functional"
"1163",19346,"functional"
"1164",1775,"functional"
"1165",25178,"functional"
"1166",30241,"functional"
"1167",31034,"functional"
"1168",33553,"functional"
"1169",53697,"functional"
"1170",13285,"functional"
"1171",38383,"functional"
"1172",19061,"non functional"
"1173",32551,"functional"
"1174",21065,"functional"
"1175",62237,"non functional"
"1176",29950,"non functional"
"1177",64684,"non functional"
"1178",6081,"functional"
"1179",3640,"non functional"
"1180",69862,"non functional"
"1181",14082,"non functional"
